Year,Category,Count
1851,HU,1
1851,TS,5
1852,HU,2
1852,TS,3
1853,HU,5
1853,TS,4
1854,HU,1
1854,TS,4
1855,HU,3
1855,TS,2
1856,HU,1
1856,TS,5
1857,HU,1
1857,TS,3
1858,HU,3
1858,TS,3
1859,HU,7
1859,TS,1
1860,HU,3
1860,TS,4
1861,HU,3
1861,TS,5
1862,HU,3
1862,TS,3
1863,HU,3
1863,TS,6
1864,HU,1
1864,TS,4
1865,HU,2
1865,TS,5
1866,HU,2
1866,TS,5
1867,HU,3
1867,TS,6
1868,HU,3
1868,TS,1
1869,HU,2
1869,TS,8
1870,HU,10
1870,TS,1
1871,HU,1
1871,TD,2
1871,TS,5
1872,HU,3
1872,TD,1
1872,TS,1
1873,HU,3
1873,TD,1
1873,TS,1
1874,HU,2
1874,TD,2
1874,TS,3
1875,HU,3
1875,TD,2
1875,TS,1
1876,TD,1
1876,TS,4
1877,TS,8
1878,HU,8
1878,TD,1
1878,TS,3
1879,HU,1
1879,TD,4
1879,TS,3
1880,HU,4
1880,TD,3
1880,TS,4
1881,TD,3
1881,TS,4
1882,HU,2
1882,TD,1
1882,TS,3
1883,HU,2
1883,TD,1
1883,TS,1
1884,HU,1
1884,TS,3
1885,HU,6
1885,TS,3
1886,HU,2
1886,TD,4
1886,TS,6
1887,HU,6
1887,TD,7
1887,TS,6
1888,HU,1
1888,TD,2
1888,TS,6
1889,TS,9
1890,TD,1
1890,TS,3
1891,HU,3
1891,TD,1
1891,TS,6
1892,HU,1
1892,TD,1
1892,TS,7
1893,HU,3
1893,TD,2
1893,TS,7
1894,HU,3
1894,TD,1
1894,TS,3
1895,HU,1
1895,TD,4
1895,TS,1
1896,HU,3
1896,TD,1
1896,TS,3
1897,HU,1
1897,TD,1
1897,TS,4
1898,HU,2
1898,TD,6
1898,TS,3
1899,HU,3
1899,TD,4
1899,TS,3
1900,TD,4
1900,TS,3
1901,HU,1
1901,TD,5
1901,TS,7
1902,HU,1
1902,TD,1
1902,TS,3
1903,HU,2
1903,TD,2
1903,TS,6
1904,TD,4
1904,TS,2
1905,HU,1
1905,TD,3
1905,TS,1
1906,HU,1
1906,TD,6
1906,TS,4
1907,TS,5
1908,TD,3
1908,TS,7
1909,HU,1
1909,TD,10
1909,TS,1
1910,HU,1
1910,TD,3
1910,TS,1
1911,TD,4
1911,TS,2
1912,TD,7
1913,TD,3
1913,TS,3
1914,TD,1
1915,TD,2
1915,TS,4
1916,HU,2
1916,TD,10
1916,TS,3
1917,HU,1
1917,TD,1
1917,TS,2
1918,TD,3
1918,TS,3
1919,TD,3
1919,TS,2
1920,HU,1
1920,TD,3
1920,TS,1
1921,HU,2
1921,TD,3
1921,TS,2
1922,HU,1
1922,TD,2
1922,TS,2
1923,HU,3
1923,TD,2
1923,TS,4
1924,HU,2
1924,TD,2
1924,TS,7
1925,HU,1
1925,TD,1
1925,TS,2
1926,HU,1
1926,TD,8
1926,TS,2
1927,HU,2
1927,TD,3
1927,TS,3
1928,HU,1
1928,TD,3
1928,TS,2
1929,HU,1
1929,TD,1
1929,TS,3
1930,HU,1
1930,TD,2
1931,TD,9
1931,TS,4
1932,HU,2
1932,TD,5
1932,TS,8
1933,HU,2
1933,TD,10
1933,TS,8
1934,HU,1
1934,TD,8
1934,TS,4
1935,HU,3
1935,TD,4
1935,TS,1
1936,HU,3
1936,TD,11
1936,TS,3
1937,HU,2
1937,TD,4
1937,TS,5
1938,HU,1
1938,TD,6
1938,TS,2
1939,HU,1
1939,TD,3
1939,TS,2
1940,HU,1
1940,TD,5
1940,TS,3
1941,TD,3
1941,TS,3
1942,TD,6
1942,TS,5
1943,HU,1
1943,TD,3
1943,TS,6
1944,HU,2
1944,TD,9
1944,TS,3
1945,HU,2
1945,TD,8
1945,TS,1
1946,HU,1
1946,TD,3
1946,TS,3
1947,HU,1
1947,TD,7
1947,TS,2
1948,HU,2
1948,TD,4
1948,TS,4
1949,HU,2
1949,TD,8
1949,TS,6
1950,HU,4
1950,TD,10
1950,TS,2
1951,HU,3
1951,TD,4
1951,TS,5
1952,HU,2
1952,TD,7
1952,TS,2
1953,HU,1
1953,TD,5
1953,TS,8
1954,HU,5
1954,TD,7
1954,TS,4
1955,HU,3
1955,TD,5
